סמל היישוב,שם יישוב,"שכר ממוצע לחודש של שכירים (ש""ח) כלל השכירים","שכר ממוצע לחודש של שכירים (ש""ח) גברים","שכר ממוצע לחודש של שכירים (ש""ח) נשים",אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים כלל השכירים,אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים גברים,אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים נשים,מספר השכירים,אחוז השכירים המשתכרים עד שכר מינימום,מספר העצמאים,"הכנסה ממוצעת לחודש של העצמאים (ש""ח)",אחוז שינוי ריאלי של הכנסה ממוצעת לחודש של העצמאים לעומת השנה הקודמת,אחוז העצמאים המשתכרים עד מחצית השכר הממוצע,"מדד אי-השוויון שכירים (מדד ג'יני, 0 שוויון מלא)"
522,נחף,"6,226.32","7,484.68","4,477.54",-0.57,0.61,-1.41,"5,353",55.30,452,"7,759.81",0.13,47.10,0.38
69,ניר עוז,"5,576.91","6,392.95","4,044.66",1.70,0.51,7.15,"2,164",57.20,99,"9,650.45",-5.52,41.40,0.34
"7,200",נס ציונה,"13,332.96","16,415.97","10,437.73",0.66,0.56,0.70,"22,094",29.80,"2,207","13,096.98",0.13,32.30,0.44
"7,300",נצרת,"6,959.33","7,971.74","5,663.08",2.52,2.59,3.18,"36,034",51,"3,356","9,595.69",-4.03,38.60,0.39
"2,500",נשר,"11,110.01","13,695.98","8,587.27",3.32,3.50,3.17,"12,525",33,915,"10,847.47",6.69,41.60,0.43
246,נתיבות,"7,393.70","8,900.48","6,028.66",4.03,4.92,2.73,"16,311",46.10,"1,011","9,807.30",-1.15,39.60,0.38
"7,400",נתניה,"9,293.14","11,187.94","7,528.92",3.23,3.00,3.49,"103,655",39.40,"9,814","10,137.89",2.33,41.40,0.43
525,סאג'ור,"7,987.95","10,294.33","5,063.83",2.30,3.83,-0.06,"2,066",44.60,144,"6,161.46",-2.19,59,0.38
587,סביון*,"17,104.62","20,662.90","13,184.18",-0.24,-0.69,2.38,"1,776",31,253,"16,091.84",-5.87,31.20,0.58
"7,500",סח'נין,"6,711.56","8,024.95","5,093.38",1.49,1.76,1.73,"14,687",54.60,"1,291","8,628.04",-3.95,40,0.40
"4,501",ע'ג'ר,"7,020.31","9,630.81","3,416.34",1.48,2.85,-0.93,"1,176",49.50,77,"8,311.64",18.70,42.90,0.38
